DATE;PPI;Interest_rates;DATE_2;Longterm_debt;Shortterm_Debt
01.01.2007;2.03952;6.25;30.09.2021;;
01.04.2007;2.24859;6.25;30.06.2021;;
01.07.2007;0;5.25;31.03.2021;;
01.10.2007;1.9548;4.75;31.12.2020;;
01.01.2008;3.89455;2.5;30.09.2020;;
01.04.2008;4.95963;2.25;30.06.2020;;
01.07.2008;0.49451;2.25;31.03.2020;;
01.10.2008;-10.27884;0.5;31.12.2019;;
01.01.2009;-0.73126;0.5;30.09.2019;;
01.04.2009;3.3763;0.5;30.06.2019;1.75;2.14
01.07.2009;0.11876;0.5;31.03.2019;2.13;2.13
01.10.2009;1.30486;0.5;31.12.2018;1.75;2.39
01.01.2010;1.81499;0.75;30.09.2018;1.75;2.14
01.04.2010;0.51754;0.75;30.06.2018;2.12;1.58
01.07.2010;0.40046;0.75;31.03.2018;2.14;1.81
01.10.2010;2.05128;0.75;31.12.2017;1.87;1.45
01.01.2011;4.57845;0.75;30.09.2017;1.77;1.53
01.04.2011;2.02883;0.75;30.06.2017;2;1.48
01.07.2011;0.20931;0.75;31.03.2017;1.95;1.44
01.10.2011;-0.99217;0.75;31.12.2016;1.96;1.43
01.01.2012;2.4789;0.75;30.09.2016;1.93;1.39
01.04.2012;-1.33814;0.75;30.06.2016;1.56;1.34
01.07.2012;1.9301;0.75;31.03.2016;1.53;1.36
01.10.2012;-1.84237;0.75;31.12.2015;1.51;1.4
01.01.2013;1.40772;0.75;30.09.2015;1.74;1.42
01.04.2013;-0.30848;0.75;30.06.2015;1.73;1.3
01.07.2013;0.20629;0.75;31.03.2015;1.84;1.25
01.10.2013;-0.56613;0.75;31.12.2014;1.9;1.3
01.01.2014;1.5528;0.75;30.09.2014;1.85;1.34
01.04.2014;0.50968;0.75;30.06.2014;1.86;1.14
01.07.2014;-0.20284;0.75;31.03.2014;1.8;1.05
01.10.2014;-3.9126;0.75;31.12.2013;1.87;1.03
01.01.2015;-1.53358;0.75;30.09.2013;1.82;1.08
01.04.2015;1.45005;0.75;30.06.2013;2.24;1.05
01.07.2015;-2.43515;0.75;31.03.2013;2.16;1.08
01.10.2015;-1.89908;1;31.12.2012;2.21;1.1
01.01.2016;-0.82965;1;30.09.2012;1.8;1.08
01.04.2016;2.39822;1;30.06.2012;1.89;1.14
01.07.2016;-0.3268;1;31.03.2012;1.72;1.13
01.10.2016;0.4918;1.25;31.12.2011;1.72;1.09
01.01.2017;1.52257;1.5;30.09.2011;1.72;1.21
01.04.2017;0.48206;1.75;30.06.2011;1.72;1.24
01.07.2017;1.0661;1.75;31.03.2011;1.72;1.28
01.10.2017;0.89662;2;31.12.2010;1.72;1.36
01.01.2018;1.4114;2.25;30.09.2010;1.72;1.41
01.04.2018;2.26804;2.5;30.06.2010;1.73;1.22
01.07.2018;0.25202;2.75;31.03.2010;1.78;1.27
01.10.2018;-1.86023;3;31.12.2009;1.78;1.37
01.01.2019;1.12705;3;30.09.2009;1.8;1.38
01.04.2019;-0.20263;3;30.06.2009;1.75;1.3
01.07.2019;-0.55838;2.5;31.03.2009;1.65;1.36
01.10.2019;0.25523;2.25;;1.64;1.42
01.01.2020;-2.08758;0.25;;1.68;1.36
01.04.2020;-1.09204;0.25;;1.71;0.84
01.07.2020;1.41956;0.25;;0.5;0.84
01.10.2020;1.96993;0.25;;0.54;0.87
01.01.2021;5.69395;0.25;;0.41;0.84
01.04.2021;4.81;0.25;;0.53;0.98
01.07.2021;1.82148;0.25;;0.65;1.01
01.10.2021;2.0733;0.25;;0.67;0.97
01.01.2022;8.23512;0.25;;;
01.04.2022;6.114898571;0.25;;;
